distance_usd,secs_remaining,p_cross,n,session
50,10,0.085575,259199,ALL
55,10,0.057936,259199,ALL
60,10,0.039136,259199,ALL
65,10,0.025803,259199,ALL
70,10,0.017122,259199,ALL
75,10,0.011053,259199,ALL
80,10,0.007319,259199,ALL
85,10,0.004807,259199,ALL
90,10,0.003187,259199,ALL
95,10,0.002118,259199,ALL
100,10,0.001354,259199,ALL
105,10,0.000883,259199,ALL
110,10,0.000556,259199,ALL
115,10,0.000355,259199,ALL
120,10,0.000212,259199,ALL
125,10,0.000131,259199,ALL
130,10,9.6e-05,259199,ALL
135,10,6.9e-05,259199,ALL
140,10,3.9e-05,259199,ALL
145,10,2.7e-05,259199,ALL
150,10,8e-06,259199,ALL
155,10,8e-06,259199,ALL
160,10,8e-06,259199,ALL
165,10,8e-06,259199,ALL
170,10,4e-06,259199,ALL
175,10,0.0,259199,ALL
180,10,0.0,259199,ALL
185,10,0.0,259199,ALL
190,10,0.0,259199,ALL
195,10,0.0,259199,ALL
200,10,0.0,259199,ALL
205,10,0.0,259199,ALL
210,10,0.0,259199,ALL
215,10,0.0,259199,ALL
220,10,0.0,259199,ALL
225,10,0.0,259199,ALL
230,10,0.0,259199,ALL
235,10,0.0,259199,ALL
240,10,0.0,259199,ALL
245,10,0.0,259199,ALL
250,10,0.0,259199,ALL
255,10,0.0,259199,ALL
260,10,0.0,259199,ALL
265,10,0.0,259199,ALL
270,10,0.0,259199,ALL
275,10,0.0,259199,ALL
280,10,0.0,259199,ALL
285,10,0.0,259199,ALL
290,10,0.0,259199,ALL
295,10,0.0,259199,ALL
300,10,0.0,259199,ALL
305,10,0.0,259199,ALL
310,10,0.0,259199,ALL
315,10,0.0,259199,ALL
320,10,0.0,259199,ALL
325,10,0.0,259199,ALL
330,10,0.0,259199,ALL
335,10,0.0,259199,ALL
340,10,0.0,259199,ALL
345,10,0.0,259199,ALL
350,10,0.0,259199,ALL
355,10,0.0,259199,ALL
360,10,0.0,259199,ALL
365,10,0.0,259199,ALL
370,10,0.0,259199,ALL
375,10,0.0,259199,ALL
380,10,0.0,259199,ALL
385,10,0.0,259199,ALL
390,10,0.0,259199,ALL
395,10,0.0,259199,ALL
400,10,0.0,259199,ALL
405,10,0.0,259199,ALL
410,10,0.0,259199,ALL
415,10,0.0,259199,ALL
420,10,0.0,259199,ALL
425,10,0.0,259199,ALL
430,10,0.0,259199,ALL
435,10,0.0,259199,ALL
440,10,0.0,259199,ALL
445,10,0.0,259199,ALL
450,10,0.0,259199,ALL
455,10,0.0,259199,ALL
460,10,0.0,259199,ALL
465,10,0.0,259199,ALL
470,10,0.0,259199,ALL
475,10,0.0,259199,ALL
480,10,0.0,259199,ALL
485,10,0.0,259199,ALL
490,10,0.0,259199,ALL
495,10,0.0,259199,ALL
500,10,0.0,259199,ALL
505,10,0.0,259199,ALL
510,10,0.0,259199,ALL
515,10,0.0,259199,ALL
520,10,0.0,259199,ALL
525,10,0.0,259199,ALL
530,10,0.0,259199,ALL
535,10,0.0,259199,ALL
540,10,0.0,259199,ALL
545,10,0.0,259199,ALL
550,10,0.0,259199,ALL
555,10,0.0,259199,ALL
560,10,0.0,259199,ALL
565,10,0.0,259199,ALL
570,10,0.0,259199,ALL
575,10,0.0,259199,ALL
580,10,0.0,259199,ALL
585,10,0.0,259199,ALL
590,10,0.0,259199,ALL
595,10,0.0,259199,ALL
600,10,0.0,259199,ALL
605,10,0.0,259199,ALL
610,10,0.0,259199,ALL
615,10,0.0,259199,ALL
620,10,0.0,259199,ALL
625,10,0.0,259199,ALL
630,10,0.0,259199,ALL
635,10,0.0,259199,ALL
640,10,0.0,259199,ALL
645,10,0.0,259199,ALL
650,10,0.0,259199,ALL
655,10,0.0,259199,ALL
660,10,0.0,259199,ALL
665,10,0.0,259199,ALL
670,10,0.0,259199,ALL
675,10,0.0,259199,ALL
680,10,0.0,259199,ALL
685,10,0.0,259199,ALL
690,10,0.0,259199,ALL
695,10,0.0,259199,ALL
700,10,0.0,259199,ALL
705,10,0.0,259199,ALL
710,10,0.0,259199,ALL
715,10,0.0,259199,ALL
720,10,0.0,259199,ALL
725,10,0.0,259199,ALL
730,10,0.0,259199,ALL
735,10,0.0,259199,ALL
740,10,0.0,259199,ALL
745,10,0.0,259199,ALL
750,10,0.0,259199,ALL
755,10,0.0,259199,ALL
760,10,0.0,259199,ALL
765,10,0.0,259199,ALL
770,10,0.0,259199,ALL
775,10,0.0,259199,ALL
780,10,0.0,259199,ALL
785,10,0.0,259199,ALL
790,10,0.0,259199,ALL
795,10,0.0,259199,ALL
800,10,0.0,259199,ALL
805,10,0.0,259199,ALL
810,10,0.0,259199,ALL
815,10,0.0,259199,ALL
820,10,0.0,259199,ALL
825,10,0.0,259199,ALL
830,10,0.0,259199,ALL
835,10,0.0,259199,ALL
840,10,0.0,259199,ALL
845,10,0.0,259199,ALL
850,10,0.0,259199,ALL
855,10,0.0,259199,ALL
860,10,0.0,259199,ALL
865,10,0.0,259199,ALL
870,10,0.0,259199,ALL
875,10,0.0,259199,ALL
880,10,0.0,259199,ALL
885,10,0.0,259199,ALL
890,10,0.0,259199,ALL
895,10,0.0,259199,ALL
900,10,0.0,259199,ALL
905,10,0.0,259199,ALL
910,10,0.0,259199,ALL
915,10,0.0,259199,ALL
920,10,0.0,259199,ALL
925,10,0.0,259199,ALL
930,10,0.0,259199,ALL
935,10,0.0,259199,ALL
940,10,0.0,259199,ALL
945,10,0.0,259199,ALL
950,10,0.0,259199,ALL
955,10,0.0,259199,ALL
960,10,0.0,259199,ALL
965,10,0.0,259199,ALL
970,10,0.0,259199,ALL
975,10,0.0,259199,ALL
980,10,0.0,259199,ALL
985,10,0.0,259199,ALL
990,10,0.0,259199,ALL
995,10,0.0,259199,ALL
1000,10,0.0,259199,ALL
1005,10,0.0,259199,ALL
1010,10,0.0,259199,ALL
1015,10,0.0,259199,ALL
1020,10,0.0,259199,ALL
1025,10,0.0,259199,ALL
1030,10,0.0,259199,ALL
1035,10,0.0,259199,ALL
1040,10,0.0,259199,ALL
1045,10,0.0,259199,ALL
1050,10,0.0,259199,ALL
1055,10,0.0,259199,ALL
1060,10,0.0,259199,ALL
1065,10,0.0,259199,ALL
1070,10,0.0,259199,ALL
1075,10,0.0,259199,ALL
1080,10,0.0,259199,ALL
1085,10,0.0,259199,ALL
1090,10,0.0,259199,ALL
1095,10,0.0,259199,ALL
1100,10,0.0,259199,ALL
1105,10,0.0,259199,ALL
1110,10,0.0,259199,ALL
1115,10,0.0,259199,ALL
1120,10,0.0,259199,ALL
1125,10,0.0,259199,ALL
1130,10,0.0,259199,ALL
1135,10,0.0,259199,ALL
1140,10,0.0,259199,ALL
1145,10,0.0,259199,ALL
1150,10,0.0,259199,ALL
1155,10,0.0,259199,ALL
1160,10,0.0,259199,ALL
1165,10,0.0,259199,ALL
1170,10,0.0,259199,ALL
1175,10,0.0,259199,ALL
1180,10,0.0,259199,ALL
1185,10,0.0,259199,ALL
1190,10,0.0,259199,ALL
1195,10,0.0,259199,ALL
1200,10,0.0,259199,ALL
1205,10,0.0,259199,ALL
1210,10,0.0,259199,ALL
1215,10,0.0,259199,ALL
1220,10,0.0,259199,ALL
1225,10,0.0,259199,ALL
1230,10,0.0,259199,ALL
1235,10,0.0,259199,ALL
1240,10,0.0,259199,ALL
1245,10,0.0,259199,ALL
1250,10,0.0,259199,ALL
1255,10,0.0,259199,ALL
1260,10,0.0,259199,ALL
1265,10,0.0,259199,ALL
1270,10,0.0,259199,ALL
1275,10,0.0,259199,ALL
1280,10,0.0,259199,ALL
1285,10,0.0,259199,ALL
1290,10,0.0,259199,ALL
1295,10,0.0,259199,ALL
1300,10,0.0,259199,ALL
1305,10,0.0,259199,ALL
1310,10,0.0,259199,ALL
1315,10,0.0,259199,ALL
1320,10,0.0,259199,ALL
1325,10,0.0,259199,ALL
1330,10,0.0,259199,ALL
1335,10,0.0,259199,ALL
1340,10,0.0,259199,ALL
1345,10,0.0,259199,ALL
1350,10,0.0,259199,ALL
1355,10,0.0,259199,ALL
1360,10,0.0,259199,ALL
1365,10,0.0,259199,ALL
1370,10,0.0,259199,ALL
1375,10,0.0,259199,ALL
1380,10,0.0,259199,ALL
1385,10,0.0,259199,ALL
1390,10,0.0,259199,ALL
1395,10,0.0,259199,ALL
1400,10,0.0,259199,ALL
1405,10,0.0,259199,ALL
1410,10,0.0,259199,ALL
1415,10,0.0,259199,ALL
1420,10,0.0,259199,ALL
1425,10,0.0,259199,ALL
1430,10,0.0,259199,ALL
1435,10,0.0,259199,ALL
1440,10,0.0,259199,ALL
1445,10,0.0,259199,ALL
1450,10,0.0,259199,ALL
1455,10,0.0,259199,ALL
1460,10,0.0,259199,ALL
1465,10,0.0,259199,ALL
1470,10,0.0,259199,ALL
1475,10,0.0,259199,ALL
1480,10,0.0,259199,ALL
1485,10,0.0,259199,ALL
1490,10,0.0,259199,ALL
1495,10,0.0,259199,ALL
1500,10,0.0,259199,ALL
1505,10,0.0,259199,ALL
1510,10,0.0,259199,ALL
1515,10,0.0,259199,ALL
1520,10,0.0,259199,ALL
1525,10,0.0,259199,ALL
1530,10,0.0,259199,ALL
1535,10,0.0,259199,ALL
1540,10,0.0,259199,ALL
1545,10,0.0,259199,ALL
1550,10,0.0,259199,ALL
1555,10,0.0,259199,ALL
1560,10,0.0,259199,ALL
1565,10,0.0,259199,ALL
1570,10,0.0,259199,ALL
1575,10,0.0,259199,ALL
1580,10,0.0,259199,ALL
1585,10,0.0,259199,ALL
1590,10,0.0,259199,ALL
1595,10,0.0,259199,ALL
1600,10,0.0,259199,ALL
1605,10,0.0,259199,ALL
1610,10,0.0,259199,ALL
1615,10,0.0,259199,ALL
1620,10,0.0,259199,ALL
1625,10,0.0,259199,ALL
1630,10,0.0,259199,ALL
1635,10,0.0,259199,ALL
1640,10,0.0,259199,ALL
1645,10,0.0,259199,ALL
1650,10,0.0,259199,ALL
1655,10,0.0,259199,ALL
1660,10,0.0,259199,ALL
1665,10,0.0,259199,ALL
1670,10,0.0,259199,ALL
1675,10,0.0,259199,ALL
