start_ts,hour_ny,strike,sigma,sd_usd,cents_per_usd,crossings,recrosses,max_up,max_down,flip_x4,flip_x5,flip_x6,flip_x7,flip_x8
1700000120,17,99934.72,11.4498,343.5,0.1161,0,0,389.3,0.0,0,0,0,0,0
1700001020,17,100129.03,8.3722,251.2,0.1588,2,1,65.3,230.8,1,1,1,1,1
1700001920,17,100218.35,9.38,281.4,0.1418,6,5,81.5,88.8,1,1,1,1,1
1700002820,18,100061.61,9.357,280.7,0.1421,0,0,0.0,253.2,0,0,0,0,0
1700003720,18,99919.63,7.307,219.2,0.182,3,2,94.6,93.9,1,1,1,1,1
1700004620,18,99885.62,10.54,316.2,0.1262,2,1,386.1,27.1,0,0,0,0,0
1700005520,18,100127.1,9.3885,281.7,0.1416,5,4,34.8,187.6,1,0,0,0,0
1700006420,19,100114.58,11.0763,332.3,0.1201,3,2,44.1,277.2,1,1,0,0,0
1700007320,19,100149.87,8.1332,244.0,0.1635,5,4,75.6,135.3,1,1,1,1,1
1700008220,19,100223.63,9.2216,276.6,0.1442,6,5,70.0,218.2,1,1,1,1,1
1700009120,19,100088.08,6.5584,196.8,0.2028,4,3,146.9,83.8,1,1,1,1,1
1700010020,20,100069.48,9.3088,279.3,0.1429,2,1,93.1,464.2,1,1,1,1,1
1700010920,20,99719.08,7.4656,224.0,0.1781,3,2,57.4,136.9,1,1,1,1,1
1700011820,20,99717.77,10.0212,300.6,0.1327,2,1,261.6,14.6,0,0,0,0,0
1700012720,20,99955.31,11.8428,355.3,0.1123,1,0,263.1,282.3,1,1,1,1,1
1700013620,21,100171.17,8.3868,251.6,0.1586,1,0,4.6,319.1,0,0,0,0,0
1700014520,21,99829.57,9.8714,296.1,0.1347,4,3,115.7,54.6,1,1,1,1,0
1700015420,21,99942.22,6.2411,187.2,0.2131,0,0,0.0,736.1,0,0,0,0,0
1700016320,21,99103.95,7.0288,210.9,0.1892,0,0,0.0,246.7,0,0,0,0,0
1700017220,22,99002.9,9.8172,294.5,0.1355,4,3,135.7,28.3,0,0,0,0,0
1700018120,22,99118.75,8.2887,248.7,0.1604,1,0,306.7,4.7,0,0,0,0,0
1700019020,22,99376.76,6.8274,204.8,0.1948,0,0,0.0,692.7,0,0,0,0,0
1700019920,22,98714.42,8.3598,250.8,0.1591,1,0,7.0,427.9,0,0,0,0,0
1700020820,23,98265.42,11.2045,336.1,0.1187,2,1,279.3,22.8,0,0,0,0,0
1700021720,23,98469.82,9.8813,296.4,0.1346,1,0,109.0,293.8,1,1,1,1,1
1700022620,23,98408.42,8.6758,260.3,0.1533,2,1,336.7,65.2,1,1,1,1,1
1700023520,23,98742.45,9.3881,281.6,0.1416,0,0,0.0,310.3,0,0,0,0,0
1700024420,0,98509.37,7.838,235.1,0.1697,0,0,539.5,0.0,0,0,0,0,0
1700025320,0,99127.55,9.614,288.4,0.1383,2,1,230.7,21.1,0,0,0,0,0
1700026220,0,99271.64,8.8071,264.2,0.151,1,0,275.4,1.0,0,0,0,0,0
1700027120,0,99450.59,7.7092,231.3,0.1725,3,2,171.4,76.0,1,1,1,1,1
